ErrorCode,Mapping,Error Description
V3001,"CWE-570,CWE-571",There are identical sub-expressions to the left and to the right of the 'foo' operator.
V3003,CWE-570,The use of 'if (A) {...} else if (A) {...}' pattern was detected. There is a probability of logical error presence.
V3004,CWE-691,The 'then' statement is equivalent to the 'else' statement.
V3006,CWE-390,The object was created but it is not being used. The 'throw' keyword could be missing.
V3007,CWE-691,Odd semicolon ';' after 'if/for/while' operator.
V3008,CWE-563,The 'x' variable is assigned values twice successively. Perhaps this is a mistake.
V3009,CWE-393,It's odd that this method always returns one and the same value of NN.
V3010,CWE-252,The return value of function 'Foo' is required to be utilized.
V3011,CWE-570,Two opposite conditions were encountered. The second condition is always false.
V3012,CWE-783,"The '?:' operator, regardless of its conditional expression, always returns one and the same value."
V3014,CWE-691,It is likely that a wrong variable is being incremented inside the 'for' operator. Consider reviewing 'X'.
V3015,CWE-691,It is likely that a wrong variable is being compared inside the 'for' operator. Consider reviewing 'X'.
V3016,CWE-691,The variable 'X' is being used for this loop and for the outer loop.
V3018,CWE-670,Consider inspecting the application's logic. It's possible that 'else' keyword is missing.
V3019,CWE-697,It is possible that an incorrect variable is compared with null after type conversion using 'as' keyword.
V3020,CWE-670,An unconditional 'break/continue/return/goto' within a loop.
V3021,CWE-561,There are two 'if' statements with identical conditional expressions. The first 'if' statement contains method return. This means that the second 'if' statement is senseless.
V3022,"CWE-570,CWE-571",Expression is always true/false.
V3023,CWE-571,Consider inspecting this expression. The expression is excessive or contains a misprint.
V3024,CWE-682,An odd precise comparison. Consider using a comparison with defined precision: Math.Abs(A - B) < Epsilon or Math.Abs(A - B) > Epsilon.
V3025,CWE-685,Incorrect format. Consider checking the N format items of the 'Foo' function.
V3026,CWE-1339,The constant NN is being utilized. The resulting value could be inaccurate. Consider using the KK constant.
V3027,CWE-476,The variable was utilized in the logical expression before it was verified against null in the same logical expression.
V3028,CWE-691,Consider inspecting the 'for' operator. Initial and final values of the iterator are the same.
V3030,CWE-571,Recurring check. This condition was already verified in previous line.
V3032,CWE-835,"Waiting on this expression is unreliable, as compiler may optimize some of the variables. Use volatile variable(s) or synchronization primitives to avoid this."
V3033,CWE-670,It is possible that this 'else' branch must apply to the previous 'if' statement.
V3034,CWE-480,Consider inspecting the expression. Probably the '!=' should be used here.
V3035,CWE-480,Consider inspecting the expression. Probably the '+=' should be used here.
V3036,CWE-480,Consider inspecting the expression. Probably the '-=' should be used here.
V3038,CWE-687,The argument was passed to method several times. It is possible that another argument should be passed instead.
V3039,CWE-39,Consider inspecting the 'Foo' function call. Defining an absolute path to the file or directory is considered a poor style.
V3040,CWE-682,The expression contains a suspicious mix of integer and real types.
V3041,CWE-682,The expression was implicitly cast from integer type to real type. Consider utilizing an explicit type cast to avoid the loss of a fractional part.
V3042,CWE-476,Possible NullReferenceException. The '?.' and '.' operators are used for accessing members of the same object.
V3043,CWE-483,The code's operational logic does not correspond with its formatting.
V3051,CWE-704,An excessive type cast or check. The object is already of the same type.
V3052,CWE-390,The original exception object was swallowed. Stack of original exception could be lost.
V3054,CWE-609,Potentially unsafe double-checked locking. Use volatile variable(s) or synchronization primitives to avoid this.
V3055,CWE-481,Suspicious assignment inside the condition expression of 'if/while/for' operator.
V3056,CWE-682,Consider reviewing the correctness of 'X' item's usage.
V3057,CWE-628,Function receives an odd argument.
V3058,CWE-462,An item with the same key has already been added.
V3060,CWE-682,A value of variable is not modified. Consider inspecting the expression. It is possible that other value should be present instead of '0'.
V3063,"CWE-570,CWE-571",A part of conditional expression is always true/false if it is evaluated.
V3064,CWE-369,Division or mod division by zero.
V3066,CWE-683,Possible incorrect order of arguments passed to method.
V3067,CWE-691,"It is possible that 'else' block was forgotten or commented out, thus altering the program's operation logics."
