ErrorCode,Mapping,Error Description
V501,"CWE-570,CWE-571",Identical sub-expressions to the left and to the right of 'foo' operator.
V502,CWE-783,The '?:' operator may not work as expected. The '?:' operator has a lower priority than the 'foo' operator.
V503,CWE-697,Nonsensical comparison: pointer < 0.
V504,CWE-841,Semicolon ';' is probably missing after the 'return' keyword.
V505,CWE-770,The 'alloca' function is used inside the loop. This can quickly overflow stack.
V506,CWE-562,Pointer to local variable 'X' is stored outside the scope of this variable. Such a pointer will become invalid.
V507,CWE-562,Pointer to local array 'X' is stored outside the scope of this array. Such a pointer will become invalid.
V508,CWE-480,The 'new type(n)' pattern was detected. Probably meant: 'new type[n]'.
V509,"CWE-248,CWE-703",Exceptions raised inside noexcept functions must be wrapped in a try..catch block.
V510,CWE-686,The 'Foo' function receives class-type variable as Nth actual argument. This is unexpected behavior.
V511,CWE-467,The sizeof() operator returns pointer size instead of array size.
V512,"CWE-119,CWE-125,CWE-193,CWE-467,CWE-682,CWE-787,CWE-806",Call of the 'Foo' function will lead to buffer overflow.
V513,CWE-676,Use _beginthreadex/_endthreadex functions instead of CreateThread/ExitThread functions.
V514,CWE-131,Potential logical error. Size of a pointer is divided by another value.
V515,CWE-763,The 'delete' operator is applied to non-pointer.
V516,"CWE-570,CWE-571",Non-null function pointer is compared to null. Consider inspecting the expression.
V517,CWE-570,Potential logical error. The 'if (A) {...} else if (A) {...}' pattern was detected.
V518,CWE-131,The 'malloc' function allocates suspicious amount of memory calculated by 'strlen(expr)'. Perhaps the correct expression is strlen(expr) + 1.
V519,CWE-563,The 'x' variable is assigned values twice successively. Perhaps this is a mistake.
V520,CWE-480,"Comma operator ',' in array index expression."
V521,CWE-480,"Expressions that use comma operator ',' are dangerous. Make sure the expression is correct."
V522,"CWE-476,CWE-690",Possible null pointer dereference.
V523,CWE-691,The 'then' statement is equivalent to the 'else' statement.
V525,CWE-682,"Code contains collection of similar blocks. Check items X, Y, Z, ... in lines N1, N2, N3, ..."
V526,CWE-253,The 'strcmp' function returns 0 if corresponding strings are equal. Consider inspecting the condition for mistakes.
V527,CWE-351,The 'zero' value is assigned to pointer. Probably meant: *ptr = zero.
V528,CWE-697,Pointer is compared with 'zero' value. Probably meant: *ptr != zero.
V529,CWE-670,Suspicious semicolon ';' after 'if/for/while' operator.
V530,CWE-252,Return value of 'Foo' function is required to be used.
V531,CWE-131,The sizeof() operator is multiplied by sizeof(). Consider inspecting the expression.
V532,CWE-480,Consider inspecting the statement of '*pointer++' pattern. Probably meant: '(*pointer)++'.
V533,CWE-691,It is possible that a wrong variable is incremented inside the 'for' operator. Consider inspecting 'X'.
V534,CWE-691,It is possible that a wrong variable is compared inside the 'for' operator. Consider inspecting 'X'.
V535,CWE-691,The 'X' variable is used for this loop and outer loops.
V536,CWE-682,Constant value is represented by an octal form.
V537,CWE-682,Potential incorrect use of item 'X'. Consider inspecting the expression.
V539,CWE-688,Iterators are passed as arguments to 'Foo' function. Consider inspecting the expression.
V540,CWE-628,Member 'x' should point to string terminated by two 0 characters.
V541,CWE-628,String is printed into itself. Consider inspecting the expression.
V542,CWE-704,Suspicious type cast: 'Type1' to ' Type2'. Consider inspecting the expression.
V543,CWE-704,It is suspicious that value 'X' is assigned to the variable 'Y' of HRESULT type.
V544,CWE-253,It is suspicious that the value 'X' of HRESULT type is compared with 'Y'.
V545,CWE-253,Conditional expression of 'if' statement is incorrect for the HRESULT type value 'Foo'. The SUCCEEDED or FAILED macro should be used instead.
V546,CWE-665,The 'Foo(Foo)' class member is initialized with itself.
V547,"CWE-570,CWE-571",Expression is always true/false.
V548,CWE-704,TYPE X[][] is not equivalent to TYPE **X. Consider inspecting type casting.
V549,CWE-688,The 'first' argument of 'Foo' function is equal to the 'second' argument.
V550,CWE-682,Suspicious precise comparison. Consider using a comparison with defined precision: fabs(A - B) < Epsilon or fabs(A - B) > Epsilon.
V551,CWE-561,Unreachable code under a 'case' label.
V552,CWE-480,A bool type variable is incremented. Perhaps another variable should be incremented instead.
V554,CWE-762,Incorrect use of smart pointer.
V555,CWE-191,Expression of the 'A - B > 0' kind will work as 'A != B'.
V556,CWE-697,Values of different enum types are compared.
V557,"CWE-119,CWE-125,CWE-787",Possible array overrun.
V558,CWE-562,Function returns pointer/reference to temporary local object.
V559,CWE-481,Suspicious assignment inside the conditional expression of 'if/while/for' statement.
V560,"CWE-570,CWE-571",Part of conditional expression is always true/false.
V561,CWE-563,Consider assigning value to 'foo' variable instead of declaring it anew.
V562,CWE-563,Bool type value is compared with value of N. Consider inspecting the expression.
V563,CWE-670,An 'else' branch may apply to the previous 'if' statement.
V564,CWE-480,The '&' or '|' operator is applied to bool type value. Check for missing parentheses or use the '&&' or '||' operator.
V565,"CWE-1069,CWE-390,CWE-544",Empty exception handler. Silent suppression of exceptions can hide errors in source code during testing.
V566,CWE-587,Integer constant is converted to pointer. Check for an error or bad coding style.
V567,CWE-758,Modification of variable is unsequenced relative to another operation on the same variable. This may lead to undefined behavior.
V568,CWE-131,It is suspicious that the argument of sizeof() operator is the expression.
V569,CWE-197,Truncation of constant value.
V570,CWE-480,Variable is assigned to itself.
V571,CWE-571,Recurring check. This condition was already verified in previous line.
V572,CWE-665,Object created using 'new' operator is immediately cast to another type. Consider inspecting the expression.
V573,CWE-457,Use of uninitialized variable 'Foo'. The variable was used to initialize itself.
V574,CWE-823,Pointer is used both as an array and as a pointer to single object.
V575,"CWE-1164,CWE-628",Function receives suspicious argument.
V576,"CWE-628,CWE-685,CWE-686,CWE-687",Incorrect format. Consider checking the Nth actual argument of the 'Foo' function.
V577,CWE-478,Label is present inside switch(). Check for typos and consider using the 'default:' operator instead.
V578,CWE-480,Suspicious bitwise operation was detected. Consider inspecting it.
V579,CWE-467,The 'Foo' function receives the pointer and its size as arguments. This may be a potential error. Inspect the Nth argument.
V580,CWE-843,Suspicious explicit type casting. Consider inspecting the expression.
V581,CWE-670,Conditional expressions of 'if' statements located next to each other are identical.
V582,"CWE-119,CWE-125,CWE-787",Consider reviewing the source code that uses the container.
V583,CWE-783,"The '?:' operator, regardless of its conditional expression, always returns the same value."
V584,CWE-480,Same value is present on both sides of the operator. The expression is incorrect or can be simplified.
V585,CWE-762,Attempt to release memory that stores the 'Foo' local variable.
V586,"CWE-415,CWE-675",The 'Foo' function is called twice to deallocate the same resource.
V588,CWE-480,Expression of the 'A =+ B' kind is used. Possibly meant: 'A += B'. Consider inspecting the expression.
V589,CWE-480,Expression of the 'A =- B' kind is used. Possibly meant: 'A -= B'. Consider inspecting the expression.
V590,CWE-571,Possible excessive expression or typo. Consider inspecting the expression.
V591,CWE-393,Non-void function must return value.
V593,CWE-783,Expression 'A = B == C' is calculated as 'A = (B == C)'. Consider inspecting the expression.
V594,CWE-823,Pointer to array is out of array bounds.
V595,CWE-476,"Pointer was used before its check for nullptr. Check lines: N1, N2."
V596,CWE-390,Object was created but is not used. Check for missing 'throw' keyword.
V597,CWE-14,Compiler may delete 'memset' function call that is used to clear 'Foo' buffer. Use the RtlSecureZeroMemory() function to erase private data.
V598,CWE-665,Memory manipulation function is used to work with a class object containing a virtual table pointer. The result of such an operation may be unexpected.
V599,CWE-1079,"The virtual destructor is not present, although the 'Foo' class contains virtual functions."
V600,"CWE-570,CWE-571",The 'Foo' pointer is always not equal to NULL. Consider inspecting the condition.
V601,CWE-704,Suspicious implicit type casting.
V602,CWE-480,The '<' operator should probably be replaced with '<<'. Consider inspecting this expression.
V603,CWE-665,"Object was created but not used. If you wish to call constructor, use 'this->Foo::Foo(....)'."
V604,CWE-682,Number of iterations in loop equals size of a pointer. Consider inspecting the expression.
V605,CWE-682,Unsigned value is compared to the NN number. Consider inspecting the expression.
V607,CWE-482,Ownerless expression 'Foo'.
V608,CWE-704,Recurring sequence of explicit type casts.
V609,CWE-369,Possible division or mod by zero.
V610,CWE-758,Undefined behavior. Check the shift operator.
V611,"CWE-590,CWE-762",Memory allocation and deallocation methods are incompatible.
V612,CWE-670,Unconditional 'break/continue/return/goto' within a loop.
V613,CWE-761,Suspicious pointer arithmetic with 'malloc/new'.
V614,"CWE-457,CWE-824",Use of 'Foo' uninitialized variable.
V615,CWE-704,Suspicious explicit conversion from 'float *' type to 'double *' type.
V616,CWE-480,Use of 'Foo' named constant with 0 value in bitwise operation.
V617,CWE-480,Argument of the '|' bitwise operation always contains non-zero value. Consider inspecting the condition.
V618,CWE-134,"Dangerous call of 'Foo' function. The passed line may contain format specification. Example of safe code: printf(""%s"", str);"
V619,CWE-480,Array is used as pointer to single object.
V620,CWE-682,Expression of sizeof(T)*N kind is summed up with pointer to T type. Consider inspecting the expression.
V621,CWE-835,Loop may execute incorrectly or may not execute at all. Consider inspecting the 'for' operator.
V622,CWE-478,First 'case' operator may be missing. Consider inspecting the 'switch' statement.
V623,CWE-416,Temporary object is created and then destroyed. Consider inspecting the '?:' operator.
V624,CWE-547,Use of constant NN. The resulting value may be inaccurate. Consider using the M_NN constant from <math.h>.
V625,CWE-691,Initial and final values of the iterator are the same. Consider inspecting the 'for' operator.
V626,CWE-483,"It's possible that ',' should be replaced by ';'. Consider checking for typos."
V627,CWE-682,"Argument of sizeof() is a macro, which expands to a number. Consider inspecting the expression."
V628,CWE-670,"It is possible that a line was commented out improperly, thus altering the program's operation logic."
V629,CWE-190,Bit shifting of the 32-bit value with a subsequent expansion to the 64-bit type. Consider inspecting the expression.
V630,CWE-665,The 'malloc' function is used to allocate memory for an array of objects that are classes containing constructors/destructors.
V631,"CWE-30,CWE-37,CWE-39",Defining absolute path to file or directory is considered a poor coding style. Consider inspecting the 'Foo' function call.
V632,CWE-686,Argument is of the 'T' type. Consider inspecting the NN argument of the 'Foo' function.
V633,CWE-480,The '!=' operator should probably be used here. Consider inspecting the expression.
V634,CWE-783,Priority of '+' operation is higher than priority of '<<' operation. Consider using parentheses in the expression.
V635,CWE-135,Length should be probably multiplied by sizeof(wchar_t). Consider inspecting the expression.
V636,CWE-682,Expression was implicitly cast from integer type to real type. Consider using an explicit type cast to avoid overflow or loss of a fractional part.
V637,CWE-570,Use of two opposite conditions. The second condition is always false.
V638,CWE-665,Terminal null is present inside a string. Use of '\0xNN' characters. Probably meant: '\xNN'.
V639,CWE-685,One of closing ')' parentheses is probably positioned incorrectly. Consider inspecting the expression for function call.
V640,CWE-483,Code's operational logic does not correspond with its formatting.
V641,CWE-704,Buffer size is not a multiple of element size.
V642,CWE-197,Function result is saved inside the 'byte' type variable. Significant bits may be lost. This may break the program's logic.
V643,CWE-480,Suspicious pointer arithmetic. Value of 'char' type is added to a string pointer.
V644,CWE-664,Suspicious function declaration. Consider creating a 'T' type object.
